SITE_ID,SITE_NAME,AREA_NAME_SUB_DISTRICT,X_LONGITUDE,Y_LATITUDE,CITY_OR_DATI_II,AREA,BRANCH,PROVINCE,REGION,SITE_OWNERSHIP,TOWER_OWNERSHIP,COLOCATION_Y_OR_N,SITE_TYPE_GF_OR_RT_OR_MICROCELL_OR_INDOOR,HEIGHT_EXISTING_BUILDING_M,HEIGHT_TOWER_M,BTS_COVERAGE_TYPE_MACRO_OR_MICRO_OR_IBS
01BIR0001,MESJID_BAROH_TB,SAMALANGA,96.35133,5.18098,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,TBG,TBG,Y,GF,,42,MACRO
01BIR0002,KAPUNG_PUTU_TB,SAMALANGA,96.35586,5.20257,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,TBG,TBG,Y,GF,,42,MACRO
01BIR0003,MEUNASAH_LINCAH_MT,SAMALANGA,96.35591,5.21782,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,DMT,DMT,Y,GF,,45,MACRO
01BIR0004,SAMALANGA_MT,SAMALANGA,96.36575,5.18733,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,DMT,DMT,Y,GF,,70,MACRO
01BIR0005,BIREUN5_MT,SAMALANGA,96.3686,5.2061,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,DMT,DMT,Y,GF,,72,MACRO
01BIR0007,GLE_MEUNDONG_MT,SIMPANG MAMPLAM,96.39186,5.17795,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,DMT,DMT,Y,GF,,72,MACRO
01BIR0008,RHEUM_BARAT_TB,SIMPANG MAMPLAM,96.39692,5.2017,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,TBG,TBG,Y,GF,,72,MACRO
01BIR0010,CUREE_TUNONG_TB,SIMPANG MAMPLAM,96.44016,5.21639,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,TBG,TBG,Y,GF,,72,MACRO
01BIR0011,PANDRAH_PL,PANDRAH,96.45824,5.18594,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,PROTELINDO,PROTELINDO,Y,GF,,71,MACRO
01BIR0012,LANCOK_ULIM_MT,PANDRAH,96.47761,5.18827,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,DMT,DMT,Y,GF,,42,MACRO
01BIR0013,ULEE_RABO_BIREUEN_PL,JEUNIEB,96.4862,5.16604,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,PROTELINDO,PROTELINDO,Y,GF,,50,MACRO
01BIR0014,MEUNASAH_KEUTAPANG_TB,JEUNIEB,96.48999,5.17643,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,TBG,TBG,Y,GF,,72,MACRO
01BIR0015,MATANG_NIBONG_JEUHIEB_PL,JEUNIEB,96.49228,5.19389,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,PROTELINDO,PROTELINDO,Y,GF,,72,MACRO
01BIR0016,JEUNIEB_EP,JEUNIEB,96.49539,5.18819,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,EMA,EMA,Y,GF,,70,MACRO
01BIR0018,UTEUN_SIKUMBONG_TB,PEULIMBANG,96.5288,5.17306,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,TBG,TBG,Y,GF,,42,MACRO
01BIR0019,SEUNEUBOK_PLIMBANG_ST,PEULIMBANG,96.5291,5.18736,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,STP,STP,Y,GF,,72,MACRO
01BIR0020,PADANG_KASAB_PL,PEULIMBANG,96.5552,5.1974,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,PROTELINDO,PROTELINDO,Y,GF,,50,MACRO
01BIR0021,ARA_BUNGONG_TB,PEUDADA,96.57839,5.18743,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,TBG,TBG,Y,GF,,42,MACRO
01BIR0022,NEUBOK_NALENG_MT,PEUDADA,96.5799,5.20349,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,DMT,DMT,Y,GF,,36,MACRO
01BIR0023,PEUDADA_EP,PEUDADA,96.5885,5.19761,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,EMA,EMA,Y,GF,,70,MACRO
01BIR0024,MEUNASAH_BUNGO_MT,PEUDADA,96.6134,5.1893,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,DMT,DMT,Y,GF,,72,MACRO
01BIR0025,MATANG_REULEUT_MT,PEUDADA,96.6289,5.20427,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,DMT,DMT,Y,GF,,62,MACRO
01BIR0027,JEUMPAH_MIRAH_TB,JEUMPA,96.64714,5.20621,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,TBG,TBG,Y,GF,,52,MACRO
01BIR0028,BIREUN3_PL,JEUMPA,96.6548,5.2103,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,PROTELINDO,PROTELINDO,Y,GF,,71,MACRO
01BIR0029,MON_JAMBEE_TB,JEUMPA,96.65968,5.21681,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,TBG,TBG,Y,GF,,62,MACRO
01BIR0030,BLANG_GANDAI_TB,JEUMPA,96.66116,5.18514,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,TBG,TBG,Y,GF,,72,MACRO
01BIR0031,COTULIM_MT,JEUMPA,96.66651,5.19674,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,DMT,DMT,Y,GF,,50,MACRO
01BIR0032,BATEE_TIMOH_BIR_TB,JEUMPA,96.67032,5.21715,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,TBG,TBG,Y,GF,,42,MACRO
01BIR0033,KUALA_RAJA_BIREUEN_PL,JEUMPA,96.6829,5.21399,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,PROTELINDO,PROTELINDO,Y,GF,,50,MACRO
01BIR0034,BIREUN1_MT,JEUMPA,96.68372,5.20583,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,DMT,DMT,Y,GF,,42,MACRO
01BIR0036,COTTRIENG_TB,KOTA JUANG,96.6916,5.21208,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,TBG,TBG,Y,GF,,72,MACRO
01BIR0037,KRUENG_JULI_BARAT_TB,KUALA,96.69319,5.23278,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,TBG,TBG,Y,GF,,42,MACRO
01BIR0038,MEUNASAH_BLANG_KEJER_MT,KOTA JUANG,96.69375,5.19808,BIREUEN,NORTH SUMATERA,LHOKSEUMAWE,ACEH,NORTH SUMATERA,DMT,DMT,Y,GF,,30,MACRO
